Company,Branch_name,Branch_id,Coordinates,Address
ROPALI,AGOO,RA004,"120.3687344, 16.3153125","8989+4FH, Agoo, La Union"
ROPALI,ALAMINOS,RA005,"119.9711627, 16.1448457","PALAMIS, ALAMINOS CITY, PANGASINAN"
ROPALI,ALICIA,RA006,"121.69754633577548, 16.78268047251992","QMHX+8Q3, Ropali Building, Laurel Street, Magsaysay, Alicia City, Isabela, Alicia"
ROPALI,"ALINGOG CENTER",RA007,"121.77403, 16.9336133","ROPALI CORP. ALINGOG CENTER, DON JOSE, CANCILLER AVENUE, DISTRICT 1, CAUAYAN CITY, ISABELA"
ROPALI,ANGELES,RA008,"120.593193, 15.149986","1271 MacArthur Hwy, Angeles, Pampanga"
ROPALI,APARRI,RA009,"121.6417031, 18.3482375","8JXR+7MW Liberto Building, Aparri, Cagayan"
ROPALI,BALANGA,RB010,"120.5334243, 14.6766032","90 CAPITOL DRIVE, BALANGA CITY, BATAAN"
ROPALI,BALER,RB011,"121.5701719, 15.7347625","PHMC+W33, National Highway, Suklayin, Baler, Aurora, Baler"
ROPALI,BALIUAG,RB012,"120.8991433, 14.9586974","BS AQUINO AVENUE, BAGONG NAYON, BALIUAG, BULACAN"
ROPALI,BAMBANG,RB013,"121.1076094, 16.3813125","94J5+G2H, Conchita Eleanor Building, Homested, Bambang, Nueva Vizcaya, Bambang"
ROPALI,BATAC,RB014,"120.560289, 18.0566558","BRGY. 7, CAUNAYAN, BATAC CITY, ILOCOS NORTE"
ROPALI,CABANATUAN,RC015,"120.9505223, 15.4726509","FXC4+44M, M. De Leon Avenue, Cabanatuan City, Nueva Ecija"
ROPALI,CABARROGUIS,RC016,"121.5256094, 16.5175875","GG9G+26Q, National Highway, Gundaway, Cabarroguis, Quirino, Cabarroguis"
ROPALI,CAMILING,RC017,"120.4256805, 15.6899991","CAAMILINGAN SUR, CAMILING, TARLAC"
ROPALI,CANDON,RC018,"120.46314, 17.18117","5CPW+599, Manila North Road, San Nicolas, Candon, 2710 Ilocos Sur"
ROPALI,CARMEN,RC019,"120.5994192, 15.8821149","CARMEN, ROSALES, PANGASINAN"
ROPALI,DAGUPAN,RD021,"120.3499844, 16.0302375","28JX+3XX Ropali Motorcycles, Dagupan, 2400 Pangasinan"
ROPALI,DINALUPIHAN,RD022,"120.4545801, 14.8780629","01 Burgos Street, Dinalupihan, Bataan"
ROPALI,GAPAN,RG023,"120.9488605, 15.2919869","STO. NIÑO, MAHARLIKA HIGHWAY, GAPAN CITY, NUEVA ECIJA"
ROPALI,GONZAGA,RG024,"122.1064668, 18.2414828","222 Adduru St, Gonzaga, Cagayan"
ROPALI,GUIMBA,RG025,"120.7632208, 15.6595807","MQ58+RC4, Afan Salvador St, Guimba, Nueva Ecija"
ROPALI,GUIGUINTO,RG059,"120.8601406, 14.8438875","RVV6+H32, Guiguinto, Bulacan"
